bill_id,customer_id,medicine,quantity,price,total,date,city
40,91,Insulin,5,319,1595,2026-03-29 10:44:55.765437,Kolkata
41,144,Paracetamol,6,425,2550,2026-02-13 10:44:55.765437,Delhi
42,44,Vitamin C,9,320,2880,2026-02-21 10:44:55.765437,Mumbai
43,188,Cough Syrup,10,302,3020,2026-03-11 10:44:55.765437,Bangalore
44,3,Ibuprofen,3,132,396,2026-01-23 10:44:55.765437,Delhi
45,61,Ibuprofen,4,201,804,2026-04-12 10:44:55.765437,Kolkata
46,91,Cough Syrup,1,432,432,2026-03-23 10:44:55.765437,Bangalore
47,45,Vitamin C,9,369,3321,2026-03-01 10:44:55.765437,Mumbai
48,37,Aspirin,9,101,909,2026-03-07 10:44:55.765437,Bangalore
49,119,Paracetamol,1,214,214,2026-02-09 10:44:55.765437,Delhi
50,176,Insulin,10,79,790,2026-03-12 10:44:55.765437,Mumbai
51,60,Aspirin,10,330,3300,2026-01-29 10:44:55.765437,Delhi
52,187,Paracetamol,4,440,1760,2026-03-29 10:44:55.765437,Delhi
53,64,Ibuprofen,10,471,4710,2026-01-19 10:44:55.765437,Delhi
54,140,Antacid,2,145,290,2026-02-26 10:44:55.765437,Mumbai
55,32,Antacid,7,80,560,2026-03-02 10:44:55.765437,Delhi
56,81,Cough Syrup,5,25,125,2026-04-18 10:44:55.765437,Bangalore
57,94,Amoxicillin,1,248,248,2026-03-30 10:44:55.765437,Kolkata
58,140,Insulin,9,429,3861,2026-02-15 10:44:55.765437,Delhi
59,2,Antacid,6,52,312,2026-02-05 10:44:55.765437,Delhi
60,27,Paracetamol,6,113,678,2026-02-27 10:44:55.765437,Kolkata
61,195,Antacid,1,392,392,2026-04-08 10:44:55.765437,Delhi
62,115,Vitamin C,7,409,2863,2026-01-26 10:44:55.765437,Bangalore
63,177,Paracetamol,8,295,2360,2026-02-19 10:44:55.765437,Kolkata
64,32,Aspirin,6,213,1278,2026-01-27 10:44:55.765437,Kolkata
65,88,Amoxicillin,2,126,252,2026-02-06 10:44:55.765437,Mumbai
66,141,Vitamin C,8,139,1112,2026-01-29 10:44:55.765437,Bangalore
67,181,Insulin,3,84,252,2026-04-08 10:44:55.765437,Mumbai
68,136,Amoxicillin,1,73,73,2026-03-31 10:44:55.765437,Kolkata
69,127,Cough Syrup,2,347,694,2026-03-03 10:44:55.765437,Kolkata
70,125,Antacid,3,249,747,2026-02-01 10:44:55.765437,Mumbai
71,192,Cough Syrup,5,487,2435,2026-02-01 10:44:55.765437,Kolkata
72,173,Antacid,1,461,461,2026-03-25 10:44:55.765437,Delhi
73,171,Amoxicillin,8,476,3808,2026-02-05 10:44:55.765437,Bangalore
74,133,Cough Syrup,9,214,1926,2026-04-17 10:44:55.765437,Kolkata
75,138,Vitamin C,5,61,305,2026-03-15 10:44:55.765437,Mumbai
76,151,Ibuprofen,2,88,176,2026-02-11 10:44:55.765437,Delhi
77,144,Antacid,2,72,144,2026-02-28 10:44:55.765437,Delhi
78,163,Cough Syrup,7,442,3094,2026-02-15 10:44:55.765437,Kolkata
79,6,Aspirin,1,117,117,2026-03-02 10:44:55.765437,Kolkata
80,29,Aspirin,9,52,468,2026-04-13 10:44:55.765437,Mumbai
81,149,Ibuprofen,1,225,225,2026-03-03 10:44:55.765437,Delhi
82,26,Aspirin,8,38,304,2026-01-20 10:44:55.765437,Bangalore
83,146,Insulin,9,362,3258,2026-02-16 10:44:55.765437,Kolkata
84,153,Aspirin,2,22,44,2026-02-20 10:44:55.765437,Bangalore
85,186,Amoxicillin,5,77,385,2026-02-17 10:44:55.765437,Bangalore
86,68,Aspirin,3,40,120,2026-04-02 10:44:55.765437,Kolkata
87,198,Insulin,7,427,2989,2026-04-19 10:44:55.765437,Delhi
88,170,Amoxicillin,6,235,1410,2026-02-14 10:44:55.765437,Kolkata
89,37,Ibuprofen,1,46,46,2026-01-30 10:44:55.765437,Bangalore
90,117,Insulin,6,375,2250,2026-03-02 10:44:55.765437,Kolkata
91,178,Vitamin C,6,157,942,2026-03-14 10:44:55.765437,Kolkata
92,112,Aspirin,9,426,3834,2026-04-14 10:44:55.765437,Kolkata
93,189,Insulin,7,303,2121,2026-03-01 10:44:55.765437,Delhi
94,122,Aspirin,10,205,2050,2026-02-04 10:44:55.765437,Delhi
95,55,Cough Syrup,2,67,134,2026-03-10 10:44:55.765437,Delhi
96,139,Ibuprofen,2,347,694,2026-04-02 10:44:55.765437,Bangalore
97,112,Vitamin C,2,469,938,2026-02-16 10:44:55.765437,Delhi
98,122,Antacid,7,119,833,2026-02-26 10:44:55.765437,Delhi
99,125,Antacid,1,42,42,2026-03-30 10:44:55.765437,Delhi
100,56,Insulin,5,108,540,2026-03-20 10:44:55.765437,Delhi
101,174,Aspirin,2,48,96,2026-01-23 10:44:55.765437,Delhi
102,181,Cough Syrup,6,122,732,2026-03-27 10:44:55.765437,Kolkata
103,144,Vitamin C,9,152,1368,2026-01-29 10:44:55.765437,Bangalore
104,119,Aspirin,9,170,1530,2026-02-03 10:44:55.765437,Delhi
105,164,Cough Syrup,10,438,4380,2026-03-06 10:44:55.765437,Mumbai
106,189,Cough Syrup,7,65,455,2026-02-20 10:44:55.765437,Bangalore
107,170,Paracetamol,6,186,1116,2026-01-26 10:44:55.765437,Mumbai
108,30,Paracetamol,5,25,125,2026-03-13 10:44:55.765437,Kolkata
109,195,Cough Syrup,2,327,654,2026-04-11 10:44:55.765437,Mumbai
110,39,Insulin,7,326,2282,2026-02-19 10:44:55.765437,Bangalore
111,99,Vitamin C,10,460,4600,2026-02-22 10:44:55.765437,Mumbai
112,102,Antacid,6,220,1320,2026-02-22 10:44:55.765437,Mumbai
113,25,Antacid,6,294,1764,2026-01-22 10:44:55.765437,Bangalore
114,158,Paracetamol,10,471,4710,2026-04-01 10:44:55.765437,Bangalore
115,188,Ibuprofen,10,190,1900,2026-02-02 10:44:55.765437,Mumbai
116,126,Amoxicillin,10,438,4380,2026-02-02 10:44:55.765437,Delhi
117,169,Antacid,4,104,416,2026-04-03 10:44:55.765437,Delhi
118,38,Insulin,1,317,317,2026-03-09 10:44:55.765437,Delhi
119,160,Ibuprofen,7,258,1806,2026-04-09 10:44:55.765437,Delhi
120,17,Cough Syrup,8,39,312,2026-03-20 10:44:55.765437,Bangalore
121,17,Antacid,6,491,2946,2026-03-25 10:44:55.765437,Kolkata
122,83,Antacid,3,451,1353,2026-02-04 10:44:55.765437,Mumbai
123,26,Paracetamol,8,138,1104,2026-03-06 10:44:55.765437,Bangalore
124,181,Cough Syrup,5,29,145,2026-02-06 10:44:55.765437,Delhi
125,130,Amoxicillin,4,201,804,2026-02-27 10:44:55.765437,Bangalore
126,20,Aspirin,1,310,310,2026-02-13 10:44:55.765437,Bangalore
127,42,Vitamin C,1,330,330,2026-03-11 10:44:55.765437,Delhi
128,78,Insulin,10,464,4640,2026-04-09 10:44:55.765437,Bangalore
129,110,Amoxicillin,8,420,3360,2026-02-16 10:44:55.765437,Mumbai
130,161,Cough Syrup,9,304,2736,2026-04-07 10:44:55.765437,Delhi
131,138,Ibuprofen,1,101,101,2026-03-14 10:44:55.765437,Mumbai
132,27,Aspirin,9,373,3357,2026-04-13 10:44:55.765437,Bangalore
133,1,Paracetamol,10,458,4580,2026-02-02 10:44:55.765437,Bangalore
134,32,Aspirin,9,165,1485,2026-03-30 10:44:55.765437,Bangalore
135,175,Amoxicillin,8,75,600,2026-03-18 10:44:55.765437,Bangalore
136,179,Aspirin,6,77,462,2026-04-03 10:44:55.765437,Kolkata
137,122,Ibuprofen,10,408,4080,2026-03-19 10:44:55.765437,Bangalore
138,71,Vitamin C,2,382,764,2026-03-26 10:44:55.765437,Kolkata
139,35,Aspirin,4,254,1016,2026-03-23 10:44:55.765437,Bangalore
140,191,Paracetamol,1,432,432,2026-02-10 10:44:55.765437,Bangalore
141,119,Cough Syrup,7,235,1645,2026-01-30 10:44:55.765437,Mumbai
142,137,Antacid,9,120,1080,2026-03-23 10:44:55.765437,Mumbai
143,158,Vitamin C,3,333,999,2026-03-18 10:44:55.765437,Delhi
144,175,Antacid,9,40,360,2026-02-13 10:44:55.765437,Kolkata
145,136,Vitamin C,4,319,1276,2026-04-11 10:44:55.765437,Mumbai
146,191,Antacid,1,374,374,2026-03-10 10:44:55.765437,Delhi
147,61,Cough Syrup,7,296,2072,2026-03-27 10:44:55.765437,Mumbai
148,113,Vitamin C,7,398,2786,2026-03-10 10:44:55.765437,Kolkata
149,164,Aspirin,3,383,1149,2026-02-03 10:44:55.765437,Mumbai
150,181,Insulin,9,441,3969,2026-03-06 10:44:55.765437,Delhi
151,79,Aspirin,4,42,168,2026-03-12 10:44:55.765437,Mumbai
152,49,Cough Syrup,2,63,126,2026-03-10 10:44:55.765437,Delhi
153,180,Insulin,2,303,606,2026-02-10 10:44:55.765437,Delhi
154,132,Cough Syrup,3,360,1080,2026-03-16 10:44:55.765437,Mumbai
155,182,Aspirin,3,169,507,2026-03-19 10:44:55.765437,Mumbai
156,119,Antacid,10,137,1370,2026-03-04 10:44:55.765437,Delhi
157,48,Insulin,7,297,2079,2026-02-27 10:44:55.765437,Mumbai
158,128,Vitamin C,6,185,1110,2026-01-22 10:44:55.765437,Mumbai
159,163,Cough Syrup,5,104,520,2026-04-19 10:44:55.765437,Mumbai
160,96,Insulin,6,404,2424,2026-02-23 10:44:55.765437,Delhi
161,138,Amoxicillin,6,21,126,2026-02-26 10:44:55.765437,Delhi
162,36,Aspirin,8,386,3088,2026-02-09 10:44:55.765437,Delhi
163,26,Ibuprofen,2,329,658,2026-01-21 10:44:55.765437,Mumbai
164,200,Insulin,7,302,2114,2026-02-03 10:44:55.765437,Mumbai
165,111,Cough Syrup,10,264,2640,2026-03-15 10:44:55.765437,Kolkata
166,3,Vitamin C,6,283,1698,2026-03-02 10:44:55.765437,Delhi
167,175,Ibuprofen,10,275,2750,2026-04-19 10:44:55.765437,Delhi
168,118,Paracetamol,8,409,3272,2026-03-23 10:44:55.765437,Bangalore
169,75,Antacid,2,132,264,2026-02-11 10:44:55.765437,Delhi
170,141,Cough Syrup,7,425,2975,2026-01-26 10:44:55.765437,Mumbai
171,38,Cough Syrup,3,375,1125,2026-03-14 10:44:55.765437,Mumbai
172,40,Paracetamol,5,29,145,2026-02-23 10:44:55.765437,Delhi
173,171,Vitamin C,6,438,2628,2026-02-17 10:44:55.765437,Mumbai
174,87,Amoxicillin,1,43,43,2026-03-08 10:44:55.765437,Delhi
175,155,Ibuprofen,3,254,762,2026-02-08 10:44:55.765437,Delhi
176,158,Paracetamol,10,396,3960,2026-02-10 10:44:55.765437,Mumbai
177,84,Ibuprofen,8,123,984,2026-01-19 10:44:55.765437,Kolkata
178,112,Amoxicillin,8,488,3904,2026-03-02 10:44:55.765437,Bangalore
179,25,Cough Syrup,9,170,1530,2026-03-15 10:44:55.765437,Mumbai
180,199,Amoxicillin,10,299,2990,2026-02-20 10:44:55.765437,Kolkata
181,3,Amoxicillin,4,417,1668,2026-02-10 10:44:55.765437,Kolkata
182,41,Paracetamol,8,265,2120,2026-04-03 10:44:55.765437,Kolkata
183,67,Paracetamol,9,128,1152,2026-04-04 10:44:55.765437,Kolkata
184,66,Insulin,9,37,333,2026-02-05 10:44:55.765437,Bangalore
185,4,Vitamin C,6,44,264,2026-01-19 10:44:55.765437,Delhi
186,109,Ibuprofen,6,64,384,2026-04-11 10:44:55.765437,Delhi
187,159,Insulin,4,470,1880,2026-02-16 10:44:55.765437,Kolkata
188,141,Amoxicillin,7,463,3241,2026-04-05 10:44:55.765437,Delhi
189,60,Antacid,3,443,1329,2026-03-16 10:44:55.765437,Delhi
190,47,Ibuprofen,2,412,824,2026-03-03 10:44:55.765437,Kolkata
191,96,Insulin,6,307,1842,2026-04-08 10:44:55.765437,Bangalore
192,100,Antacid,6,352,2112,2026-04-07 10:44:55.765437,Delhi
193,138,Cough Syrup,4,283,1132,2026-03-07 10:44:55.765437,Kolkata
194,148,Ibuprofen,3,190,570,2026-03-10 10:44:55.765437,Bangalore
195,103,Amoxicillin,7,166,1162,2026-02-02 10:44:55.765437,Mumbai
196,33,Insulin,4,365,1460,2026-02-12 10:44:55.765437,Kolkata
197,88,Paracetamol,2,334,668,2026-04-09 10:44:55.765437,Kolkata
198,51,Paracetamol,5,410,2050,2026-02-24 10:44:55.765437,Delhi
199,155,Antacid,3,216,648,2026-03-21 10:44:55.765437,Delhi
200,191,Antacid,6,132,792,2026-03-21 10:44:55.765437,Bangalore
201,84,Insulin,6,462,2772,2026-02-03 10:44:55.765437,Delhi
202,66,Vitamin C,7,93,651,2026-02-27 10:44:55.765437,Bangalore
203,155,Aspirin,10,478,4780,2026-02-18 10:44:55.765437,Delhi
204,139,Paracetamol,3,261,783,2026-04-16 10:44:55.765437,Delhi
205,189,Paracetamol,6,39,234,2026-04-05 10:44:55.765437,Bangalore
206,180,Cough Syrup,4,86,344,2026-04-12 10:44:55.765437,Kolkata
207,192,Amoxicillin,6,384,2304,2026-01-22 10:44:55.765437,Kolkata
208,60,Ibuprofen,7,300,2100,2026-04-10 10:44:55.765437,Bangalore
209,123,Paracetamol,10,320,3200,2026-04-01 10:44:55.765437,Bangalore
210,126,Ibuprofen,9,386,3474,2026-01-25 10:44:55.765437,Kolkata
211,59,Paracetamol,10,150,1500,2026-01-31 10:44:55.765437,Kolkata
212,163,Vitamin C,2,142,284,2026-03-29 10:44:55.765437,Bangalore
213,61,Insulin,8,153,1224,2026-01-25 10:44:55.765437,Delhi
214,22,Aspirin,1,177,177,2026-03-22 10:44:55.765437,Kolkata
215,164,Insulin,1,498,498,2026-04-06 10:44:55.765437,Kolkata
216,58,Antacid,8,88,704,2026-03-02 10:44:55.765437,Kolkata
217,97,Ibuprofen,7,307,2149,2026-03-04 10:44:55.765437,Mumbai
218,9,Vitamin C,2,187,374,2026-04-06 10:44:55.765437,Delhi
219,131,Antacid,4,497,1988,2026-02-21 10:44:55.765437,Delhi
220,61,Antacid,9,154,1386,2026-04-09 10:44:55.765437,Mumbai
221,70,Paracetamol,9,429,3861,2026-02-07 10:44:55.765437,Delhi
222,119,Paracetamol,9,435,3915,2026-02-04 10:44:55.765437,Mumbai
223,52,Paracetamol,8,368,2944,2026-03-10 10:44:55.765437,Bangalore
224,131,Aspirin,5,274,1370,2026-02-03 10:44:55.765437,Delhi
225,198,Paracetamol,6,99,594,2026-03-30 10:44:55.765437,Delhi
226,124,Aspirin,1,314,314,2026-02-12 10:44:55.765437,Delhi
227,4,Insulin,4,423,1692,2026-04-02 10:44:55.765437,Mumbai
228,44,Ibuprofen,2,73,146,2026-01-28 10:44:55.765437,Delhi
229,182,Cough Syrup,5,369,1845,2026-04-17 10:44:55.765437,Delhi
230,141,Cough Syrup,1,199,199,2026-03-30 10:44:55.765437,Delhi
231,13,Vitamin C,8,483,3864,2026-03-23 10:44:55.765437,Kolkata
232,7,Insulin,8,450,3600,2026-02-25 10:44:55.765437,Bangalore
233,138,Paracetamol,1,126,126,2026-04-04 10:44:55.765437,Mumbai
234,159,Aspirin,6,403,2418,2026-03-04 10:44:55.765437,Bangalore
235,156,Ibuprofen,4,370,1480,2026-02-26 10:44:55.765437,Kolkata
236,47,Cough Syrup,3,349,1047,2026-02-08 10:44:55.765437,Kolkata
237,131,Insulin,5,462,2310,2026-02-08 10:44:55.765437,Delhi
238,142,Ibuprofen,1,56,56,2026-02-25 10:44:55.765437,Delhi
239,81,Vitamin C,10,118,1180,2026-02-21 10:44:55.765437,Mumbai
240,70,Antacid,4,278,1112,2026-04-19 10:44:55.765437,Mumbai
241,148,Cough Syrup,9,282,2538,2026-03-13 10:44:55.765437,Bangalore
242,172,Amoxicillin,6,440,2640,2026-01-20 10:44:55.765437,Mumbai
243,91,Amoxicillin,2,44,88,2026-02-23 10:44:55.765437,Mumbai
244,45,Aspirin,8,355,2840,2026-03-27 10:44:55.765437,Delhi
245,188,Aspirin,7,410,2870,2026-03-25 10:44:55.765437,Mumbai
246,95,Ibuprofen,2,373,746,2026-01-26 10:44:55.765437,Delhi
247,125,Insulin,3,82,246,2026-03-18 10:44:55.765437,Bangalore
248,112,Ibuprofen,10,462,4620,2026-03-23 10:44:55.765437,Bangalore
249,76,Amoxicillin,4,119,476,2026-02-10 10:44:55.765437,Mumbai
250,42,Cough Syrup,1,111,111,2026-01-20 10:44:55.765437,Delhi
251,187,Vitamin C,5,138,690,2026-04-16 10:44:55.765437,Delhi
252,163,Aspirin,3,461,1383,2026-04-14 10:44:55.765437,Delhi
253,51,Ibuprofen,7,86,602,2026-03-19 10:44:55.765437,Kolkata
254,124,Antacid,6,430,2580,2026-01-19 10:44:55.765437,Delhi
255,98,Aspirin,1,155,155,2026-04-18 10:44:55.765437,Bangalore
256,58,Antacid,4,86,344,2026-04-19 10:44:55.765437,Mumbai
257,63,Insulin,6,157,942,2026-03-07 10:44:55.765437,Delhi
258,198,Cough Syrup,6,100,600,2026-03-11 10:44:55.765437,Bangalore
259,40,Antacid,3,225,675,2026-03-29 10:44:55.765437,Mumbai
260,186,Insulin,8,492,3936,2026-02-26 10:44:55.765437,Kolkata
261,103,Cough Syrup,9,336,3024,2026-04-18 10:44:55.765437,Delhi
262,5,Amoxicillin,2,150,300,2026-03-26 10:44:55.765437,Kolkata
263,88,Aspirin,8,471,3768,2026-02-13 10:44:55.765437,Kolkata
264,65,Paracetamol,5,295,1475,2026-01-31 10:44:55.765437,Kolkata
265,113,Vitamin C,6,389,2334,2026-03-12 10:44:55.765437,Bangalore
266,78,Vitamin C,6,328,1968,2026-04-05 10:44:55.765437,Kolkata
267,184,Vitamin C,6,374,2244,2026-01-27 10:44:55.765437,Delhi
268,84,Ibuprofen,7,363,2541,2026-03-06 10:44:55.765437,Bangalore
269,23,Amoxicillin,4,104,416,2026-02-25 10:44:55.765437,Kolkata
270,198,Insulin,4,68,272,2026-02-06 10:44:55.765437,Mumbai
271,51,Ibuprofen,1,94,94,2026-02-01 10:44:55.765437,Mumbai
272,153,Amoxicillin,10,119,1190,2026-01-23 10:44:55.765437,Delhi
273,61,Amoxicillin,3,103,309,2026-01-27 10:44:55.765437,Kolkata
274,134,Cough Syrup,2,54,108,2026-03-19 10:44:55.765437,Kolkata
275,93,Vitamin C,6,139,834,2026-02-15 10:44:55.765437,Mumbai
276,48,Vitamin C,3,271,813,2026-04-03 10:44:55.765437,Mumbai
277,148,Paracetamol,9,142,1278,2026-01-28 10:44:55.765437,Bangalore
278,182,Aspirin,2,365,730,2026-04-06 10:44:55.765437,Kolkata
279,159,Aspirin,1,77,77,2026-03-14 10:44:55.765437,Mumbai
280,77,Ibuprofen,8,489,3912,2026-04-10 10:44:55.765437,Mumbai
281,100,Amoxicillin,5,47,235,2026-02-15 10:44:55.765437,Kolkata
282,174,Insulin,1,111,111,2026-02-24 10:44:55.765437,Mumbai
283,164,Aspirin,1,254,254,2026-04-14 10:44:55.765437,Kolkata
284,194,Ibuprofen,2,342,684,2026-02-08 10:44:55.765437,Delhi
285,105,Vitamin C,1,161,161,2026-04-11 10:44:55.765437,Delhi
286,47,Insulin,3,275,825,2026-03-21 10:44:55.765437,Mumbai
287,84,Aspirin,10,70,700,2026-03-09 10:44:55.765437,Kolkata
288,55,Antacid,10,375,3750,2026-01-26 10:44:55.765437,Mumbai
289,124,Insulin,1,352,352,2026-03-29 10:44:55.765437,Delhi
290,59,Ibuprofen,1,115,115,2026-03-21 10:44:55.765437,Mumbai
291,154,Insulin,5,134,670,2026-02-25 10:44:55.765437,Bangalore
292,77,Cough Syrup,3,349,1047,2026-02-09 10:44:55.765437,Bangalore
293,126,Insulin,7,182,1274,2026-02-13 10:44:55.765437,Mumbai
294,98,Aspirin,7,182,1274,2026-04-11 10:44:55.765437,Kolkata
295,2,Antacid,9,332,2988,2026-04-08 10:44:55.765437,Bangalore
296,34,Antacid,6,35,210,2026-03-22 10:44:55.765437,Bangalore
297,119,Ibuprofen,10,397,3970,2026-03-13 10:44:55.765437,Mumbai
298,91,Paracetamol,4,194,776,2026-04-05 10:44:55.765437,Kolkata
299,109,Aspirin,6,89,534,2026-01-31 10:44:55.765437,Kolkata
300,158,Cough Syrup,2,387,774,2026-04-14 10:44:55.765437,Delhi
301,127,Vitamin C,1,285,285,2026-02-15 10:44:55.765437,Kolkata
302,63,Cough Syrup,10,304,3040,2026-02-08 10:44:55.765437,Delhi
303,151,Antacid,5,350,1750,2026-03-20 10:44:55.765437,Delhi
304,148,Paracetamol,7,70,490,2026-03-05 10:44:55.765437,Bangalore
305,170,Paracetamol,8,286,2288,2026-02-17 10:44:55.765437,Kolkata
306,126,Paracetamol,9,185,1665,2026-03-23 10:44:55.765437,Bangalore
307,54,Amoxicillin,10,397,3970,2026-03-13 10:44:55.765437,Kolkata
308,26,Vitamin C,10,279,2790,2026-03-21 10:44:55.765437,Kolkata
309,11,Cough Syrup,9,113,1017,2026-03-15 10:44:55.765437,Delhi
310,62,Ibuprofen,1,255,255,2026-04-17 10:44:55.765437,Bangalore
311,147,Insulin,6,401,2406,2026-02-10 10:44:55.765437,Mumbai
312,66,Paracetamol,3,161,483,2026-04-04 10:44:55.765437,Delhi
313,169,Ibuprofen,5,206,1030,2026-02-24 10:44:55.765437,Bangalore
314,148,Ibuprofen,1,43,43,2026-03-22 10:44:55.765437,Kolkata
315,95,Insulin,7,429,3003,2026-01-22 10:44:55.765437,Mumbai
316,184,Paracetamol,3,252,756,2026-04-07 10:44:55.765437,Bangalore
317,169,Amoxicillin,1,48,48,2026-04-08 10:44:55.765437,Bangalore
318,58,Paracetamol,4,399,1596,2026-03-18 10:44:55.765437,Kolkata
319,106,Paracetamol,5,490,2450,2026-03-31 10:44:55.765437,Delhi
320,122,Insulin,3,377,1131,2026-01-29 10:44:55.765437,Delhi
321,90,Antacid,8,194,1552,2026-03-10 10:44:55.765437,Mumbai
322,75,Antacid,9,310,2790,2026-03-06 10:44:55.765437,Mumbai
323,138,Vitamin C,8,168,1344,2026-04-16 10:44:55.765437,Mumbai
324,117,Aspirin,9,209,1881,2026-01-23 10:44:55.765437,Bangalore
325,20,Paracetamol,4,262,1048,2026-02-03 10:44:55.765437,Bangalore
326,22,Insulin,2,127,254,2026-01-24 10:44:55.765437,Bangalore
327,40,Amoxicillin,5,185,925,2026-01-24 10:44:55.765437,Mumbai
328,145,Aspirin,9,182,1638,2026-02-24 10:44:55.765437,Delhi
329,85,Aspirin,10,210,2100,2026-02-07 10:44:55.765437,Kolkata
330,67,Insulin,4,279,1116,2026-03-02 10:44:55.765437,Delhi
331,187,Antacid,1,39,39,2026-04-08 10:44:55.765437,Mumbai
332,118,Paracetamol,4,236,944,2026-03-17 10:44:55.765437,Mumbai
333,126,Cough Syrup,10,398,3980,2026-02-17 10:44:55.765437,Kolkata
334,59,Vitamin C,8,118,944,2026-01-27 10:44:55.765437,Kolkata
335,184,Insulin,6,456,2736,2026-03-26 10:44:55.765437,Kolkata
336,98,Cough Syrup,6,237,1422,2026-02-16 10:44:55.765437,Delhi
337,198,Cough Syrup,10,400,4000,2026-04-18 10:44:55.765437,Mumbai
338,122,Insulin,7,484,3388,2026-03-20 10:44:55.765437,Delhi
339,144,Paracetamol,10,170,1700,2026-02-12 10:44:55.765437,Mumbai
340,89,Paracetamol,2,182,364,2026-03-03 10:44:55.765437,Kolkata
341,4,Paracetamol,1,342,342,2026-04-09 10:44:55.765437,Bangalore
342,77,Amoxicillin,1,464,464,2026-03-11 10:44:55.765437,Mumbai
343,77,Paracetamol,8,237,1896,2026-02-20 10:44:55.765437,Kolkata
344,172,Insulin,7,97,679,2026-04-14 10:44:55.765437,Delhi
345,177,Antacid,6,266,1596,2026-02-02 10:44:55.765437,Kolkata
346,160,Antacid,10,89,890,2026-04-11 10:44:55.765437,Kolkata
347,185,Antacid,2,101,202,2026-04-18 10:44:55.765437,Mumbai
348,64,Vitamin C,9,366,3294,2026-04-06 10:44:55.765437,Kolkata
349,57,Antacid,4,101,404,2026-02-25 10:44:55.765437,Bangalore
350,11,Vitamin C,1,60,60,2026-02-19 10:44:55.765437,Kolkata
351,43,Paracetamol,1,327,327,2026-04-18 10:44:55.765437,Bangalore
352,73,Cough Syrup,1,223,223,2026-03-18 10:44:55.765437,Kolkata
353,3,Ibuprofen,1,472,472,2026-03-25 10:44:55.765437,Bangalore
354,120,Insulin,3,192,576,2026-03-17 10:44:55.765437,Kolkata
355,143,Amoxicillin,2,318,636,2026-04-06 10:44:55.765437,Delhi
356,14,Cough Syrup,3,134,402,2026-03-31 10:44:55.765437,Bangalore
357,125,Insulin,5,321,1605,2026-02-17 10:44:55.765437,Kolkata
358,157,Vitamin C,1,456,456,2026-03-14 10:44:55.765437,Kolkata
